index,pred
813,1
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,1
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,1
844,0
845,0
846,1
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,1
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,0
890,1
891,0
892,0
893,0
894,0
895,1
896,0
897,0
898,0
899,0
900,1
901,1
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,0
911,1
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,1
922,1
923,0
924,1
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,1
944,0
945,0
946,0
947,0
948,0
949,1
950,0
951,1
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,1
983,0
984,1
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,0
996,0
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1024,0
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,0
1041,1
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
